"Name","Type","Changes","Values","Required Dependencies","Additional Dependencies","Changed By","Changed At"
"netsuite.transactionbodycustomfield.instance.custbody_aw_edit","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbody_aw_first_lvl_approval","Transaction Body Custom Field","Modifications","","Unknown","Unknown","Geoffrey W Routledge","11/09/2023"
"netsuite.transactionbodycustomfield.instance.custbody_aw_second_lvl_approval","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbody_eshed_superfield","Transaction Body Custom Field","Modifications","","Unknown","Unknown","Salto User","05/29/2023"
"netsuite.transactionbodycustomfield.instance.custbody_gwr_new2","Transaction Body Custom Field","Additions","","Unknown","Unknown","Geoffrey W Routledge","10/26/2023"
"netsuite.transactionbodycustomfield.instance.custbody_gwr_workflow_selector","Transaction Body Custom Field","Additions","","Unknown","Unknown","Geoffrey W Routledge","02/27/2023"
"netsuite.transactionbodycustomfield.instance.custbody_itr_doc_number","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbody_lala","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbody_mkd_transaction_body_field_1","Transaction Body Custom Field","Modifications","","Unknown","Unknown","Salto User","10/16/2023"
"netsuite.transactionbodycustomfield.instance.custbody_mkd_transaction_body_field_2","Transaction Body Custom Field","Modifications","","Unknown","Unknown","Salto User","08/01/2023"
"netsuite.transactionbodycustomfield.instance.custbody_rg_valid_forto_po","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbody_slt_opportunity_owner","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbody_slt_sales_order_type","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbody_srd_opp_source","Transaction Body Custom Field","Deletions","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbody_srd_translated_field","Transaction Body Custom Field","Deletions","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbody_svb_schedule_is_intercompany","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbody_svb_vb_to_bell_dist_sched","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbody1","Transaction Body Custom Field","Additions","","Unknown","Unknown","Salto User","05/24/2023"
"netsuite.transactionbodycustomfield.instance.custbodybundle_type","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbodydp_transaction_field_1","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbodyil_payment_processor","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbodysf_payment_processor","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""
"netsuite.transactionbodycustomfield.instance.custbodytb_payment_processor","Transaction Body Custom Field","Modifications","","Unknown","Unknown","",""